sample_id,species,relative_abundance,data_source,kefir type,group
k4_S124,Lactococcus lactis,45.5484,Walsh et al 2023,ML,milk
k5_S125,Lactococcus lactis,49.2935,Walsh et al 2023,ML,milk
k6_S1,Lactococcus cremoris,46.4549,Walsh et al 2023,ML,milk
k7_S2,Lactococcus cremoris,53.0929,Walsh et al 2023,ML,milk
k8_S3,Lactococcus cremoris,49.6375,Walsh et al 2023,ML,milk
k9_S4,Lactococcus cremoris,45.5033,Walsh et al 2023,ML,milk
L1_S8,Lactococcus lactis,52.4825,Walsh et al 2023,ML,milk
L10_S17,Lactococcus lactis,54.6333,Walsh et al 2023,ML,milk
L11_S18,Lactococcus lactis,56.496,Walsh et al 2023,ML,milk
L12_S19,Lactococcus lactis,50.9156,Walsh et al 2023,ML,milk
L2_S9,Lactococcus cremoris,19.5889,Walsh et al 2023,ML,milk
L3_S10,Lactococcus cremoris,56.495,Walsh et al 2023,ML,milk
L4_S11,Lactococcus cremoris,27.664,Walsh et al 2023,ML,milk
L5_S12,Lactococcus cremoris,58.7546,Walsh et al 2023,ML,milk
L6_S13,Lactobacillus helveticus,42.8881,Walsh et al 2023,ML,milk
L7_S14,Lactobacillus helveticus,41.1168,Walsh et al 2023,ML,milk
L8_S15,Lactobacillus helveticus,28.2449,Walsh et al 2023,ML,milk
L9_S16,Lactobacillus helveticus,21.3224,Walsh et al 2023,ML,milk
M1_S20,Lactococcus lactis,59.2806,Walsh et al 2023,ML,milk
M10_S29,Lactococcus lactis,62.0115,Walsh et al 2023,ML,milk
M11_S30,Lactococcus lactis,61.9545,Walsh et al 2023,ML,milk
M12_S31,Lactococcus lactis,62.9386,Walsh et al 2023,ML,milk
M2_S21,Lactococcus lactis,35.8773,Walsh et al 2023,ML,milk
M3_S22,Lactococcus lactis,46.8745,Walsh et al 2023,ML,milk
M4_S23,Lactobacillus helveticus,39.3392,Walsh et al 2023,ML,milk
M5_S24,Lactobacillus helveticus,30.472,Walsh et al 2023,ML,milk
M6_S25,Lactococcus lactis,59.059,Walsh et al 2023,ML,milk
M7_S26,Lactococcus lactis,60.372,Walsh et al 2023,ML,milk
M8_S27,Lactococcus lactis,59.2667,Walsh et al 2023,ML,milk
M9_S28,Lactococcus lactis,59.446,Walsh et al 2023,ML,milk
N1_S32,Lactococcus lactis,62.0834,Walsh et al 2023,ML,milk
N10_S41,Lactobacillus helveticus,67.5851,Walsh et al 2023,ML,milk
N11_S42,Lactobacillus helveticus,32.2007,Walsh et al 2023,ML,milk
N12_S43,Lactobacillus helveticus,39.3831,Walsh et al 2023,ML,milk
N2_S33,Lactobacillus kefiranofaciens,23.9575,Walsh et al 2023,ML,milk
N3_S34,Lactococcus cremoris,51.0657,Walsh et al 2023,ML,milk
N4_S35,Lactococcus cremoris,38.5388,Walsh et al 2023,ML,milk
N5_S36,Lactococcus cremoris,49.8063,Walsh et al 2023,ML,milk
N6_S37,Lactococcus cremoris,47.593,Walsh et al 2023,ML,milk
N7_S38,Lactococcus lactis,31.7967,Walsh et al 2023,ML,milk
N8_S39,Lactococcus lactis,55.5409,Walsh et al 2023,ML,milk
N9_S40,Lactococcus lactis,53.0498,Walsh et al 2023,ML,milk
O1_S44,Lactococcus lactis,39.3515,Walsh et al 2023,ML,milk
O10_S53,Lactobacillus helveticus,28.6709,Walsh et al 2023,ML,milk
O11_S54,Lactococcus lactis,31.7436,Walsh et al 2023,ML,milk
O12_S55,Lactococcus lactis,7.33787,Walsh et al 2023,ML,milk
O2_S45,Lactococcus cremoris,49.8891,Walsh et al 2023,ML,milk
O3_S46,Lactobacillus helveticus,33.9349,Walsh et al 2023,ML,milk
O4_S47,Lactococcus cremoris,30.6383,Walsh et al 2023,ML,milk
O5_S48,Lactobacillus helveticus,42.9672,Walsh et al 2023,ML,milk
O6_S49,Lactococcus cremoris,37.6574,Walsh et al 2023,ML,milk
O7_S50,Lactococcus cremoris,30.0315,Walsh et al 2023,ML,milk
O8_S51,Lactococcus cremoris,28.5361,Walsh et al 2023,ML,milk
O9_S52,Lactococcus cremoris,24.2202,Walsh et al 2023,ML,milk
P1_S56,Lactococcus lactis,22.2059,Walsh et al 2023,ML,milk
P10_S65,Lactobacillus helveticus,51.679,Walsh et al 2023,ML,milk
P11_S66,Lactobacillus helveticus,30.5157,Walsh et al 2023,ML,milk
P12_S67,Lactococcus lactis,38.0747,Walsh et al 2023,ML,milk
P2_S57,Lactococcus cremoris,48.9762,Walsh et al 2023,ML,milk
P3_S58,Lactococcus cremoris,53.8437,Walsh et al 2023,ML,milk
P4_S59,Lactococcus cremoris,43.4844,Walsh et al 2023,ML,milk
P5_S60,Lactococcus cremoris,41.2923,Walsh et al 2023,ML,milk
P6_S61,Lactococcus lactis,49.7542,Walsh et al 2023,ML,milk
P7_S62,Lactococcus lactis,59.7434,Walsh et al 2023,ML,milk
P8_S63,Lactococcus lactis,51.4323,Walsh et al 2023,ML,milk
P9_S64,Lactococcus lactis,59.1936,Walsh et al 2023,ML,milk
Q1_S68,Lactococcus lactis,23.3733,Walsh et al 2023,ML,milk
Q10_S77,Lactobacillus kefiranofaciens,21.9117,Walsh et al 2023,ML,milk
Q11_S78,Lactococcus cremoris,39.6656,Walsh et al 2023,ML,milk
Q12_S79,Lactococcus cremoris,56.5911,Walsh et al 2023,ML,milk
Q2_S69,Lactobacillus helveticus,34.1274,Walsh et al 2023,ML,milk
Q3_S70,Lactococcus lactis,37.0348,Walsh et al 2023,ML,milk
Q4_S71,Lactococcus lactis,31.6257,Walsh et al 2023,ML,milk
Q5_S72,Lactococcus lactis,26.6867,Walsh et al 2023,ML,milk
Q6_S73,Lactococcus lactis,59.7125,Walsh et al 2023,ML,milk
Q7_S74,Lactococcus lactis,60.6337,Walsh et al 2023,ML,milk
Q8_S75,Lactococcus lactis,59.6962,Walsh et al 2023,ML,milk
Q9_S76,Lactococcus lactis,61.2031,Walsh et al 2023,ML,milk
R1_S80,Lactococcus cremoris,30.9597,Walsh et al 2023,ML,milk
R10_S89,Lactococcus cremoris,48.6105,Walsh et al 2023,ML,milk
R11_S90,Lactococcus cremoris,47.856,Walsh et al 2023,ML,milk
R12_S91,Lactococcus cremoris,42.1344,Walsh et al 2023,ML,milk
R2_S81,Lactococcus cremoris,57.2172,Walsh et al 2023,ML,milk
R3_S82,Lactococcus cremoris,55.5907,Walsh et al 2023,ML,milk
R4_S83,Lactococcus cremoris,39.8719,Walsh et al 2023,ML,milk
R5_S84,Lactococcus cremoris,47.5267,Walsh et al 2023,ML,milk
R6_S85,Lactococcus lactis,54.837,Walsh et al 2023,ML,milk
R7_S86,Lactococcus lactis,57.6749,Walsh et al 2023,ML,milk
R8_S87,Lactococcus lactis,57.1949,Walsh et al 2023,ML,milk
R9_S88,Lactococcus lactis,51.249,Walsh et al 2023,ML,milk
S1_S92,Lactococcus cremoris,45.9913,Walsh et al 2023,ML,milk
S10_S101,Lactobacillus helveticus,52.3072,Walsh et al 2023,ML,milk
S11_S102,Lactococcus lactis,46.8763,Walsh et al 2023,ML,milk
S12_S103,Lactococcus lactis,43.005,Walsh et al 2023,ML,milk
S2_S93,Lactococcus lactis,46.237,Walsh et al 2023,ML,milk
S3_S94,Lactococcus lactis,50.0912,Walsh et al 2023,ML,milk
S4_S95,Lactococcus lactis,50.8132,Walsh et al 2023,ML,milk
S5_S96,Lactococcus lactis,48.3428,Walsh et al 2023,ML,milk
S6_S97,Lactococcus lactis,27.7421,Walsh et al 2023,ML,milk
S7_S98,Lactococcus lactis,27.1831,Walsh et al 2023,ML,milk
S8_S99,Lactococcus lactis,48.803,Walsh et al 2023,ML,milk
S9_S100,Lactococcus lactis,44.2091,Walsh et al 2023,ML,milk
T1_S104,Lactococcus lactis,50.4665,Walsh et al 2023,ML,milk
T2_S105,Leuconostoc mesenteroides,24.214,Walsh et al 2023,ML,milk
T3_S106,Leuconostoc mesenteroides,15.7971,Walsh et al 2023,ML,milk
T4_S107,Lactobacillus kefiranofaciens,25.4705,Walsh et al 2023,ML,milk
T5_S108,Lactobacillus kefiranofaciens,28.654,Walsh et al 2023,ML,milk
TG_AP_T1_WL_0AE_S350,Gluconobacter oxydans,6.95043,This study,WL,water
TG_AP_T1_WL_0AE_S350,Gluconobacter oxydans,6.95043,This study,WL,water
TG_AP_T2_WG_0AN_S181,Lentilactobacillus hilgardii,20.5665,This study,WG,water
TG_AP_T2_WG_0AN_S181,Lentilactobacillus hilgardii,20.5665,This study,WG,water
TG_AP_T2_WG_0AN_S181,Lentilactobacillus hilgardii,20.5665,This study,WG,water
TG_AP_T2_WG_0AN_S181,Lentilactobacillus hilgardii,20.5665,This study,WG,water
TG_AP_T2_WG_0AN_S340,Lentilactobacillus hilgardii,19.5648,This study,WG,water
TG_AP_T2_WG_0AN_S340,Lentilactobacillus hilgardii,19.5648,This study,WG,water
TG_AP_T2_WL_0AE_S303,Gluconobacter oxydans,5.53291,This study,WL,water
TG_AP_T2_WL_0AE_S303,Gluconobacter oxydans,5.53291,This study,WL,water
TG_AP_T2_WL_0AN_S304,Zymomonas mobilis,0.41463,This study,WL,water
TG_AP_T2_WL_0AN_S304,Zymomonas mobilis,0.41463,This study,WL,water
TG_AP_WLC_S420,Escherichia coli,17.8427,This study,WL,water
TG_AP_WLC_S420,Escherichia coli,17.8427,This study,WL,water
TG_BR_T1_WL_0AE_S362,Zymomonas mobilis,5.63496,This study,WL,water
TG_BR_T1_WL_0AE_S362,Zymomonas mobilis,5.63496,This study,WL,water
TG_BR_T1_WL_0AN_S363,Zymomonas mobilis,2.1649,This study,WL,water
TG_BR_T1_WL_0AN_S363,Zymomonas mobilis,2.1649,This study,WL,water
TG_BR_T2_WL_0AE_S315,Zymomonas mobilis,6.04527,This study,WL,water
TG_BR_T2_WL_0AE_S315,Zymomonas mobilis,6.04527,This study,WL,water
TG_BR_T2_WL_0AN_S316,Zymomonas mobilis,0.51929,This study,WL,water
TG_BR_T2_WL_0AN_S316,Zymomonas mobilis,0.51929,This study,WL,water
TG_BR_WLC_S386,Lactococcus cremoris,14.4576,This study,WL,water
TG_BR_WLC_S386,Lactococcus cremoris,14.4576,This study,WL,water
TG_FG_T1_WL_0AE_S326,Lacticaseibacillus paracasei,7.0977,This study,WL,water
TG_FG_T1_WL_0AE_S326,Lacticaseibacillus paracasei,7.0977,This study,WL,water
TG_FG_T1_WL_0AN_S327,Lacticaseibacillus paracasei,2.59941,This study,WL,water
TG_FG_T1_WL_0AN_S327,Lacticaseibacillus paracasei,2.59941,This study,WL,water
TG_FG_T2_WL_0AE_S374,Lacticaseibacillus paracasei,7.24249,This study,WL,water
TG_FG_T2_WL_0AE_S374,Lacticaseibacillus paracasei,7.24249,This study,WL,water
TG_FG_T2_WL_0AN_S375,Lacticaseibacillus paracasei,7.93763,This study,WL,water
TG_FG_T2_WL_0AN_S375,Lacticaseibacillus paracasei,7.93763,This study,WL,water
TG_FG_WLC_S410,Lactococcus cremoris,11.6697,This study,WL,water
TG_FG_WLC_S410,Lactococcus cremoris,11.6697,This study,WL,water
TG_FL_T1_WL_0AE_S338,Lacticaseibacillus paracasei,10.7866,This study,WL,water
TG_FL_T1_WL_0AE_S338,Lacticaseibacillus paracasei,10.7866,This study,WL,water
TG_FL_T1_WL_0AN_S339,Lacticaseibacillus paracasei,2.44322,This study,WL,water
TG_FL_T1_WL_0AN_S339,Lacticaseibacillus paracasei,2.44322,This study,WL,water
TG_FL_T2_WG_0AN_S180,Lentilactobacillus hilgardii,28.2119,This study,WG,water
TG_FL_T2_WG_0AN_S180,Lentilactobacillus hilgardii,28.2119,This study,WG,water
TG_FL_T2_WG_0AN_S180,Lentilactobacillus hilgardii,28.2119,This study,WG,water
TG_FL_T2_WG_0AN_S180,Lentilactobacillus hilgardii,28.2119,This study,WG,water
TG_FL_T2_WG_0AN_S328,Lentilactobacillus hilgardii,27.1861,This study,WG,water
TG_FL_T2_WG_0AN_S328,Lentilactobacillus hilgardii,27.1861,This study,WG,water
TG_FL_T2_WL_0AE_S291,Lacticaseibacillus paracasei,13.602,This study,WL,water
TG_FL_T2_WL_0AE_S291,Lacticaseibacillus paracasei,13.602,This study,WL,water
TG_FL_T2_WL_0AN_S292,Lentilactobacillus hilgardii,1.08692,This study,WL,water
TG_FL_T2_WL_0AN_S292,Lentilactobacillus hilgardii,1.08692,This study,WL,water
TG_FL_T3_WG_0AN_S179,Lentilactobacillus hilgardii,24.0312,This study,WG,water
TG_FL_T3_WG_0AN_S179,Lentilactobacillus hilgardii,24.0312,This study,WG,water
TG_FL_T3_WG_0AN_S179,Lentilactobacillus hilgardii,24.0312,This study,WG,water
TG_FL_T3_WG_0AN_S179,Lentilactobacillus hilgardii,24.0312,This study,WG,water
TG_FL_WLC_S415,Pseudomonas mosselii,0.135362,This study,WL,water
TG_FL_WLC_S415,Pseudomonas mosselii,0.135362,This study,WL,water
TG_FU_MLC_S107,Acinetobacter sp. TTH0-4,1.76577,This study,ML,milk
TG_FU_MLC_S107,Acinetobacter sp. TTH0-4,1.76577,This study,ML,milk
TG_FU_MLC_S107,Acinetobacter sp. TTH0-4,1.76577,This study,ML,milk
TG_FU_MLC_S107,Acinetobacter sp. TTH0-4,1.76577,This study,ML,milk
TG_FU_MLC_S107,Acinetobacter sp. TTH0-4,1.76577,This study,ML,milk
TG_FU_MLC_S107,Acinetobacter sp. TTH0-4,1.76577,This study,ML,milk
TG_FU_MLC2_S155,Microbacterium foliorum,0.863919,This study,ML,milk
TG_FU_MLC2_S155,Microbacterium foliorum,0.863919,This study,ML,milk
TG_FU_MLC2_S155,Microbacterium foliorum,0.863919,This study,ML,milk
TG_FU_MLC2_S155,Microbacterium foliorum,0.863919,This study,ML,milk
TG_FU_MLC2_S155,Microbacterium foliorum,0.863919,This study,ML,milk
TG_FU_MLC2_S155,Microbacterium foliorum,0.863919,This study,ML,milk
TG_FU_T1_ML_0AE_S384,Pseudomonas fragi,9.80962,This study,ML,milk
TG_FU_T1_ML_0AE_S384,Pseudomonas fragi,9.80962,This study,ML,milk
TG_FU_T1_ML_0AN_S37,Pseudomonas fragi,12.7514,This study,ML,milk
TG_FU_T1_ML_0AN_S37,Pseudomonas fragi,12.7514,This study,ML,milk
TG_FU_T1_ML_0AN_S37,Pseudomonas fragi,12.7514,This study,ML,milk
TG_FU_T1_ML_0AN_S37,Pseudomonas fragi,12.7514,This study,ML,milk
TG_FU_T1_ML_0AN_S37,Pseudomonas fragi,12.7514,This study,ML,milk
TG_FU_T1_ML_0AN_S37,Pseudomonas fragi,12.7514,This study,ML,milk
TG_FU_T2_ML_0AE_S301,Lactococcus raffinolactis,27.4279,This study,ML,milk
TG_FU_T2_ML_0AE_S301,Lactococcus raffinolactis,27.4279,This study,ML,milk
TG_FU_T3_MG_0AN_S178,Lactobacillus kefiranofaciens,38.3025,This study,MG,milk
TG_FU_T3_MG_0AN_S178,Lactobacillus kefiranofaciens,38.3025,This study,MG,milk
TG_FU_T3_MG_0AN_S178,Lactobacillus kefiranofaciens,38.3025,This study,MG,milk
TG_FU_T3_MG_0AN_S178,Lactobacillus kefiranofaciens,38.3025,This study,MG,milk
TG_GO_MLC_S190,Microbacterium foliorum,0.844451,This study,ML,milk
TG_GO_MLC_S190,Microbacterium foliorum,0.844451,This study,ML,milk
TG_GO_MLC_S190,Microbacterium foliorum,0.844451,This study,ML,milk
TG_GO_MLC_S190,Microbacterium foliorum,0.844451,This study,ML,milk
TG_GO_MLC_S190,Microbacterium foliorum,0.844451,This study,ML,milk
TG_GO_MLC_S190,Microbacterium foliorum,0.844451,This study,ML,milk
TG_GO_MLC2_S143,Microbacterium foliorum,0.844822,This study,ML,milk
TG_GO_MLC2_S143,Microbacterium foliorum,0.844822,This study,ML,milk
TG_GO_MLC2_S143,Microbacterium foliorum,0.844822,This study,ML,milk
TG_GO_MLC2_S143,Microbacterium foliorum,0.844822,This study,ML,milk
TG_GO_MLC2_S143,Microbacterium foliorum,0.844822,This study,ML,milk
TG_GO_MLC2_S143,Microbacterium foliorum,0.844822,This study,ML,milk
TG_GO_T1_ML_0AE_S372,Bacillus cereus,11.0412,This study,ML,milk
TG_GO_T1_ML_0AE_S372,Bacillus cereus,11.0412,This study,ML,milk
TG_GO_T1_ML_0AN_S25,Bacillus wiedmannii,5.30446,This study,ML,milk
TG_GO_T1_ML_0AN_S25,Bacillus wiedmannii,5.30446,This study,ML,milk
TG_GO_T1_ML_0AN_S25,Bacillus wiedmannii,5.30446,This study,ML,milk
TG_GO_T1_ML_0AN_S25,Bacillus wiedmannii,5.30446,This study,ML,milk
TG_GO_T1_ML_0AN_S25,Bacillus wiedmannii,5.30446,This study,ML,milk
TG_GO_T1_ML_0AN_S25,Bacillus wiedmannii,5.30446,This study,ML,milk
TG_GO_T2_ML_0AE_S289,Lactobacillus kefiranofaciens,44.0468,This study,ML,milk
TG_GO_T2_ML_0AE_S289,Lactobacillus kefiranofaciens,44.0468,This study,ML,milk
TG_GO_T2_ML_0AN_S85,Bacillus wiedmannii,7.85431,This study,ML,milk
TG_GO_T2_ML_0AN_S85,Bacillus wiedmannii,7.85431,This study,ML,milk
TG_GO_T2_ML_0AN_S85,Bacillus wiedmannii,7.85431,This study,ML,milk
TG_GO_T2_ML_0AN_S85,Bacillus wiedmannii,7.85431,This study,ML,milk
TG_GO_T2_ML_0AN_S85,Bacillus wiedmannii,7.85431,This study,ML,milk
TG_GO_T2_ML_0AN_S85,Bacillus wiedmannii,7.85431,This study,ML,milk
TG_ID009_MG_T1_S325,Lactobacillus kefiranofaciens,43.9777,This study,MG,milk
TG_ID009_MG_T1_S325,Lactobacillus kefiranofaciens,43.9777,This study,MG,milk
TG_ID009_MG_T2_S382,Lactobacillus kefiranofaciens,48.2132,This study,MG,milk
TG_ID009_MG_T2_S382,Lactobacillus kefiranofaciens,48.2132,This study,MG,milk
TG_ID009_MG_T3_S152,Lactobacillus kefiranofaciens,40.2613,This study,MG,milk
TG_ID009_MG_T3_S152,Lactobacillus kefiranofaciens,40.2613,This study,MG,milk
TG_ID009_MG_T3_S152,Lactobacillus kefiranofaciens,40.2613,This study,MG,milk
TG_ID009_MG_T3_S152,Lactobacillus kefiranofaciens,40.2613,This study,MG,milk
TG_ID009_MG_T3_S152,Lactobacillus kefiranofaciens,40.2613,This study,MG,milk
TG_ID009_MG_T3_S152,Lactobacillus kefiranofaciens,40.2613,This study,MG,milk
TG_ID009_MG_T4_S54,Lactobacillus kefiranofaciens,46.5347,This study,MG,milk
TG_ID009_MG_T4_S54,Lactobacillus kefiranofaciens,46.5347,This study,MG,milk
