genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
WK020_metawrap_bin_reassembly_reassembled_bins_bin.10.permissive.fa,17_1,0.010000000000000009,average,ANImf,17
WK043_metawrap_bin_reassembly_reassembled_bins_bin.4.permissive.fa,18_1,0.010000000000000009,average,ANImf,18
WK048_metawrap_bin_reassembly_reassembled_bins_bin.10.permissive.fa,18_1,0.010000000000000009,average,ANImf,18
WK037_metawrap_bin_reassembly_reassembled_bins_bin.6.strict.fa,19_1,0.010000000000000009,average,ANImf,19
WK043_metawrap_bin_reassembly_reassembled_bins_bin.5.permissive.fa,19_1,0.010000000000000009,average,ANImf,19
WK054_metawrap_bin_reassembly_original_bins_bin.8.fa,19_1,0.010000000000000009,average,ANImf,19
WK058_metawrap_bin_reassembly_original_bins_bin.2.fa,19_1,0.010000000000000009,average,ANImf,19
WK028_metawrap_bin_reassembly_original_bins_bin.3.fa,19_2,0.010000000000000009,average,ANImf,19
WK013_metawrap_bin_reassembly_original_bins_bin.8.fa,19_3,0.010000000000000009,average,ANImf,19
WK014_metawrap_bin_reassembly_reassembled_bins_bin.1.strict.fa,19_3,0.010000000000000009,average,ANImf,19
TG_AP_T1_WL_0AE_S350_metawrap_bin_reassembly_original_bins_bin.14.fa,19_4,0.010000000000000009,average,ANImf,19
TG_AP_T2_WG_0AN_S340_metawrap_bin_reassembly_original_bins_bin.4.fa,19_4,0.010000000000000009,average,ANImf,19
TG_AP_T2_WL_0AE_S303_metawrap_bin_reassembly_original_bins_bin.3.fa,19_4,0.010000000000000009,average,ANImf,19
TG_BR_T1_WL_0AE_S362_metawrap_bin_reassembly_original_bins_bin.3.fa,19_4,0.010000000000000009,average,ANImf,19
TG_BR_T1_WL_0AN_S363_metawrap_bin_reassembly_reassembled_bins_bin.7.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_BR_T2_WL_0AE_S315_metawrap_bin_reassembly_original_bins_bin.1.fa,19_4,0.010000000000000009,average,ANImf,19
TG_BR_T2_WL_0AN_S316_metawrap_bin_reassembly_original_bins_bin.1.fa,19_4,0.010000000000000009,average,ANImf,19
TG_FG_T1_WL_0AE_S326_metawrap_bin_reassembly_original_bins_bin.8.fa,19_4,0.010000000000000009,average,ANImf,19
TG_FG_T1_WL_0AN_S327_metawrap_bin_reassembly_reassembled_bins_bin.2.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
TG_FG_T2_WL_0AE_S374_metawrap_bin_reassembly_reassembled_bins_bin.4.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_FG_T2_WL_0AN_S375_metawrap_bin_reassembly_reassembled_bins_bin.1.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
TG_FL_T1_WL_0AE_S338_metawrap_bin_reassembly_original_bins_bin.5.fa,19_4,0.010000000000000009,average,ANImf,19
TG_FL_T1_WL_0AN_S339_metawrap_bin_reassembly_original_bins_bin.2.fa,19_4,0.010000000000000009,average,ANImf,19
TG_FL_T2_WG_0AN_S180_metawrap_bin_reassembly_original_bins_bin.4.fa,19_4,0.010000000000000009,average,ANImf,19
TG_FL_T2_WL_0AE_S291_metawrap_bin_reassembly_reassembled_bins_bin.6.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
TG_FL_T3_WG_0AN_S179_metawrap_bin_reassembly_reassembled_bins_bin.4.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID056_WG_T1_S11_metawrap_bin_reassembly_original_bins_bin.3.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID056_WG_T2_S35_metawrap_bin_reassembly_reassembled_bins_bin.8.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID060_WG_T2_S175_metawrap_bin_reassembly_reassembled_bins_bin.5.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID061_WG_T1_S364_metawrap_bin_reassembly_reassembled_bins_bin.5.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID062_WG_T2_S320_metawrap_bin_reassembly_reassembled_bins_bin.7.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID062_WG_T3_S181_metawrap_bin_reassembly_reassembled_bins_bin.8.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID062_WL_T1_S140_metawrap_bin_reassembly_original_bins_bin.1.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID069_WG_T1_S105_metawrap_bin_reassembly_reassembled_bins_bin.3.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID070_WG_T2_S332_metawrap_bin_reassembly_reassembled_bins_bin.11.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID070_WG_T5_S32_metawrap_bin_reassembly_reassembled_bins_bin.14.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID070_WL_T1_S105_metawrap_bin_reassembly_reassembled_bins_bin.14.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID082_WG_T1_S330_metawrap_bin_reassembly_reassembled_bins_bin.7.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID082_WG_T2_S344_metawrap_bin_reassembly_reassembled_bins_bin.4.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID082_WG_T4_S130_metawrap_bin_reassembly_original_bins_bin.3.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID083_WG_T1_S3_metawrap_bin_reassembly_reassembled_bins_bin.2.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID084_WL_T1_S329_metawrap_bin_reassembly_reassembled_bins_bin.2.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID085_WG_T1_S366_metawrap_bin_reassembly_original_bins_bin.4.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID086_WG_T1_S378_metawrap_bin_reassembly_original_bins_bin.10.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID087_WG_T1_S295_metawrap_bin_reassembly_original_bins_bin.2.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID088_WG_T1_S307_metawrap_bin_reassembly_reassembled_bins_bin.4.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID089_WG_T1_S319_metawrap_bin_reassembly_reassembled_bins_bin.1.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID090_WG_T1_S331_metawrap_bin_reassembly_reassembled_bins_bin.2.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID092_WG_T1_S343_metawrap_bin_reassembly_reassembled_bins_bin.11.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID096_WG_T1_S56_metawrap_bin_reassembly_original_bins_bin.2.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID097_WG_T1_S129_metawrap_bin_reassembly_original_bins_bin.1.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID103_WG_T1_S67_metawrap_bin_reassembly_reassembled_bins_bin.3.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID107_WG_T3_S137_metawrap_bin_reassembly_reassembled_bins_bin.2.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID107_WG_T4_S106_metawrap_bin_reassembly_reassembled_bins_bin.4.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID107_WG_T6_S108_metawrap_bin_reassembly_reassembled_bins_bin.3.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID107_WL_T5_S111_metawrap_bin_reassembly_reassembled_bins_bin.6.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID110_WG_T1_S166_metawrap_bin_reassembly_reassembled_bins_bin.2.strict.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID110_WG_T3_S20_metawrap_bin_reassembly_reassembled_bins_bin.1.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
TG_ID110_WL_T2_S177_metawrap_bin_reassembly_original_bins_bin.7.fa,19_4,0.010000000000000009,average,ANImf,19
WK002_metawrap_bin_reassembly_original_bins_bin.5.fa,19_4,0.010000000000000009,average,ANImf,19
WK010_metawrap_bin_reassembly_original_bins_bin.10.fa,19_4,0.010000000000000009,average,ANImf,19
WK012_metawrap_bin_reassembly_reassembled_bins_bin.3.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK017_metawrap_bin_reassembly_original_bins_bin.12.fa,19_4,0.010000000000000009,average,ANImf,19
WK018_metawrap_bin_reassembly_reassembled_bins_bin.8.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK019_metawrap_bin_reassembly_reassembled_bins_bin.7.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK020_metawrap_bin_reassembly_original_bins_bin.4.fa,19_4,0.010000000000000009,average,ANImf,19
WK025_metawrap_bin_reassembly_original_bins_bin.11.fa,19_4,0.010000000000000009,average,ANImf,19
WK026_metawrap_bin_reassembly_original_bins_bin.1.fa,19_4,0.010000000000000009,average,ANImf,19
WK027_metawrap_bin_reassembly_reassembled_bins_bin.2.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK033_metawrap_bin_reassembly_reassembled_bins_bin.6.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK042_metawrap_bin_reassembly_original_bins_bin.2.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_AP_T1_merged_0AE_metawrap_bin_reassembly_original_bins_bin.13.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_AP_T2_merged_0AE_metawrap_bin_reassembly_original_bins_bin.5.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_AP_T2_merged_0AN_metawrap_bin_reassembly_reassembled_bins_bin.4.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_BR_T1_merged_0AE_metawrap_bin_reassembly_original_bins_bin.3.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_BR_T1_merged_0AN_metawrap_bin_reassembly_reassembled_bins_bin.9.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_BR_T2_merged_0AE_metawrap_bin_reassembly_original_bins_bin.1.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_BR_T2_merged_0AN_metawrap_bin_reassembly_original_bins_bin.1.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_FG_T1_merged_0AE_metawrap_bin_reassembly_original_bins_bin.8.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_FG_T1_merged_0AN_metawrap_bin_reassembly_reassembled_bins_bin.1.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_FG_T2_merged_0AE_metawrap_bin_reassembly_reassembled_bins_bin.2.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_FG_T2_merged_0AN_metawrap_bin_reassembly_reassembled_bins_bin.1.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_FL_T1_merged_0AE_metawrap_bin_reassembly_original_bins_bin.6.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_FL_T1_merged_0AN_metawrap_bin_reassembly_original_bins_bin.1.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_FL_T2_merged_0AE_metawrap_bin_reassembly_reassembled_bins_bin.8.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_FL_T3_merged_0AN_metawrap_bin_reassembly_reassembled_bins_bin.4.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID056_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.13.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID056_merged_T2_metawrap_bin_reassembly_reassembled_bins_bin.9.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID058_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.8.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID060_merged_T2_metawrap_bin_reassembly_reassembled_bins_bin.9.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID061_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.4.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID062_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.12.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID062_merged_T2_metawrap_bin_reassembly_original_bins_bin.7.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID062_merged_T3_metawrap_bin_reassembly_reassembled_bins_bin.1.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID069_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.3.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID070_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.5.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID070_merged_T2_metawrap_bin_reassembly_reassembled_bins_bin.1.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID070_merged_T5_metawrap_bin_reassembly_reassembled_bins_bin.14.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID082_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.1.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID082_merged_T2_metawrap_bin_reassembly_original_bins_bin.1.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID082_merged_T4_metawrap_bin_reassembly_original_bins_bin.4.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID083_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.1.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID084_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.5.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID085_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.4.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID086_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.16.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID087_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.9.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID088_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.6.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID089_merged_T1_metawrap_bin_reassembly_original_bins_bin.13.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID090_merged_T1_metawrap_bin_reassembly_original_bins_bin.3.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID092_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.10.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID096_merged_T1_metawrap_bin_reassembly_original_bins_bin.3.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID097_merged_T1_metawrap_bin_reassembly_original_bins_bin.6.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID103_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.4.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID107_merged_T3_metawrap_bin_reassembly_reassembled_bins_bin.1.permissive.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID107_merged_T4_metawrap_bin_reassembly_reassembled_bins_bin.5.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID107_merged_T5_metawrap_bin_reassembly_reassembled_bins_bin.9.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID107_merged_T6_metawrap_bin_reassembly_reassembled_bins_bin.1.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID110_merged_T1_metawrap_bin_reassembly_original_bins_bin.5.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID110_merged_T2_metawrap_bin_reassembly_original_bins_bin.8.fa,19_4,0.010000000000000009,average,ANImf,19
WK_TG_ID110_merged_T3_metawrap_bin_reassembly_reassembled_bins_bin.5.strict.fa,19_4,0.010000000000000009,average,ANImf,19
WK034_metawrap_bin_reassembly_original_bins_bin.4.fa,19_5,0.010000000000000009,average,ANImf,19
WK004_metawrap_bin_reassembly_original_bins_bin.9.fa,20_1,0.010000000000000009,average,ANImf,20
WK009_metawrap_bin_reassembly_reassembled_bins_bin.1.strict.fa,20_1,0.010000000000000009,average,ANImf,20
WK014_metawrap_bin_reassembly_reassembled_bins_bin.3.permissive.fa,20_1,0.010000000000000009,average,ANImf,20
WK015_metawrap_bin_reassembly_reassembled_bins_bin.8.permissive.fa,20_1,0.010000000000000009,average,ANImf,20
WK016_metawrap_bin_reassembly_original_bins_bin.7.fa,20_1,0.010000000000000009,average,ANImf,20
WK021_metawrap_bin_reassembly_reassembled_bins_bin.9.strict.fa,20_1,0.010000000000000009,average,ANImf,20
WK024_metawrap_bin_reassembly_original_bins_bin.6.fa,20_1,0.010000000000000009,average,ANImf,20
WK034_metawrap_bin_reassembly_original_bins_bin.10.fa,20_1,0.010000000000000009,average,ANImf,20
WK067_metawrap_bin_reassembly_original_bins_bin.5.fa,20_1,0.010000000000000009,average,ANImf,20
WK043_metawrap_bin_reassembly_reassembled_bins_bin.8.permissive.fa,20_2,0.010000000000000009,average,ANImf,20
WK048_metawrap_bin_reassembly_reassembled_bins_bin.7.strict.fa,20_2,0.010000000000000009,average,ANImf,20
WK051_metawrap_bin_reassembly_reassembled_bins_bin.10.strict.fa,20_2,0.010000000000000009,average,ANImf,20
WK053_metawrap_bin_reassembly_original_bins_bin.5.fa,20_2,0.010000000000000009,average,ANImf,20
WK062_metawrap_bin_reassembly_reassembled_bins_bin.9.permissive.fa,20_2,0.010000000000000009,average,ANImf,20
WK064_metawrap_bin_reassembly_reassembled_bins_bin.8.strict.fa,20_2,0.010000000000000009,average,ANImf,20
TG_AP_T1_WL_0AE_S350_metawrap_bin_reassembly_reassembled_bins_bin.2.strict.fa,20_3,0.010000000000000009,average,ANImf,20
TG_AP_T2_WL_0AN_S304_metawrap_bin_reassembly_reassembled_bins_bin.5.permissive.fa,20_3,0.010000000000000009,average,ANImf,20
TG_BR_T1_WL_0AE_S362_metawrap_bin_reassembly_reassembled_bins_bin.2.permissive.fa,20_3,0.010000000000000009,average,ANImf,20
TG_BR_T1_WL_0AN_S363_metawrap_bin_reassembly_reassembled_bins_bin.2.strict.fa,20_3,0.010000000000000009,average,ANImf,20
TG_BR_T2_WL_0AE_S315_metawrap_bin_reassembly_original_bins_bin.2.fa,20_3,0.010000000000000009,average,ANImf,20
TG_FG_T1_WL_0AE_S326_metawrap_bin_reassembly_original_bins_bin.10.fa,20_3,0.010000000000000009,average,ANImf,20
TG_FG_T1_WL_0AN_S327_metawrap_bin_reassembly_reassembled_bins_bin.3.permissive.fa,20_3,0.010000000000000009,average,ANImf,20
TG_FL_T1_WL_0AE_S338_metawrap_bin_reassembly_reassembled_bins_bin.6.permissive.fa,20_3,0.010000000000000009,average,ANImf,20
TG_FL_T1_WL_0AN_S339_metawrap_bin_reassembly_original_bins_bin.1.fa,20_3,0.010000000000000009,average,ANImf,20
TG_ID056_WG_T1_S11_metawrap_bin_reassembly_original_bins_bin.6.fa,20_3,0.010000000000000009,average,ANImf,20
TG_ID056_WG_T2_S35_metawrap_bin_reassembly_reassembled_bins_bin.7.strict.fa,20_3,0.010000000000000009,average,ANImf,20
TG_ID056_WG_T3_S59_metawrap_bin_reassembly_original_bins_bin.6.fa,20_3,0.010000000000000009,average,ANImf,20
TG_ID056_WG_T6_S12_metawrap_bin_reassembly_reassembled_bins_bin.4.strict.fa,20_3,0.010000000000000009,average,ANImf,20
TG_ID058_WG_T1_S352_metawrap_bin_reassembly_reassembled_bins_bin.1.strict.fa,20_3,0.010000000000000009,average,ANImf,20
TG_ID062_WG_T1_S128_metawrap_bin_reassembly_original_bins_bin.4.fa,20_3,0.010000000000000009,average,ANImf,20
TG_ID062_WG_T2_S320_metawrap_bin_reassembly_reassembled_bins_bin.5.strict.fa,20_3,0.010000000000000009,average,ANImf,20
TG_ID062_WG_T3_S181_metawrap_bin_reassembly_reassembled_bins_bin.4.permissive.fa,20_3,0.010000000000000009,average,ANImf,20
TG_ID069_WG_T1_S105_metawrap_bin_reassembly_original_bins_bin.4.fa,20_3,0.010000000000000009,average,ANImf,20
