sample_id,Lactococcus lactis subsp. lactis,Alicyclobacillus acidocaldarius subsp. acidocaldarius,Bifidobacterium longum subsp. longum,Leuconostoc mesenteroides subsp. mesenteroides,Salmonella enterica subsp. enterica,Pseudomonas chlororaphis subsp. aurantiaca,Streptococcus dysgalactiae subsp. equisimilis,Staphylococcus hominis subsp. hominis,Bifidobacterium animalis subsp. lactis,Mycobacterium avium subsp. hominissuis,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis subsp. piscium,Lactococcus cremoris subsp. cremoris,Legionella pneumophila subsp. fraseri,Cutibacterium acnes subsp. acnes,Lacticaseibacillus paracasei subsp. paracasei,Zymomonas mobilis subsp. mobilis,Enterobacter hormaechei subsp. xiangfangensis,Fusobacterium nucleatum subsp. animalis,Listeria ivanovii subsp. londoniensis,Bifidobacterium longum subsp. infantis,Photorhabdus laumondii subsp. laumondii,Treponema pallidum subsp. pallidum,Francisella tularensis subsp. novicida,Fibrobacter succinogenes subsp. succinogenes,Lactobacillus delbrueckii subsp. bulgaricus,Mycobacterium avium subsp. paratuberculosis,Mycoplasma mycoides subsp. mycoides,Aeromonas salmonicida subsp. salmonicida,Clavibacter michiganensis subsp. nebraskensis,Campylobacter fetus subsp. fetus,Campylobacter fetus subsp. venerealis,Clavibacter michiganensis subsp. michiganensis,Clavibacter michiganensis subsp. insidiosus,Photobacterium damselae subsp. piscicida,Streptococcus equi subsp. zooepidemicus,Mycoplasma mycoides subsp. capri,Mycoplasma capricolum subsp. capripneumoniae,Pasteurella multocida subsp. multocida,Streptococcus gallolyticus subsp. gallolyticus,Streptomyces lavendulae subsp. lavendulae,Salmonella enterica subsp. salamae,Klebsiella pneumoniae subsp. pneumoniae,Staphylococcus capitis subsp. capitis,Fusobacterium nucleatum subsp. nucleatum,Fusobacterium nucleatum subsp. polymorphum,Lactobacillus delbrueckii subsp. delbrueckii,Photobacterium damselae subsp. damselae,Campylobacter hyointestinalis subsp. hyointestinalis,Campylobacter hyointestinalis subsp. lawsonii,Legionella pneumophila subsp. pascullei,Legionella pneumophila subsp. pneumophila,Leuconostoc gelidum subsp. gasicomitatum,Francisella tularensis subsp. tularensis,Francisella tularensis subsp. holarctica,Streptomyces rimosus subsp. rimosus,Bacillus subtilis subsp. subtilis,Fusobacterium necrophorum subsp. funduliforme,Paenibacillus larvae subsp. larvae,Streptococcus equi subsp. equi,Fusobacterium nucleatum subsp. vincentii,Thermoclostridium stercorarium subsp. stercorarium,Morganella morganii subsp. morganii,Streptococcus constellatus subsp. pharyngis,Listeria ivanovii subsp. ivanovii,Mycobacterium intracellulare subsp. chimaera,Lactobacillus delbrueckii subsp. indicus,Enterobacter hormaechei subsp. steigerwaltii,Bifidobacterium animalis subsp. animalis,Streptomyces hygroscopicus subsp. jinggangensis,Mycobacteroides abscessus subsp. bolletii,Acetobacter pasteurianus subsp. pasteurianus,Campylobacter lari subsp. concheus,Proteus terrae subsp. cibarius,Bifidobacterium catenulatum subsp. kashiwanohense,Xylella fastidiosa subsp. fastidiosa,Xylella fastidiosa subsp. multiplex,Borreliella garinii subsp. bavariensis,Mycobacteroides abscessus subsp. abscessus,Campylobacter fetus subsp. testudinum,Campylobacter pinnipediorum subsp. pinnipediorum,Klebsiella quasipneumoniae subsp. quasipneumoniae,Enterobacter hormaechei subsp. hoffmannii,Clavibacter michiganensis subsp. capsici,Sphingopyxis terrae subsp. terrae,Alistipes onderdonkii subsp. vulgaris,Xylella fastidiosa subsp. morus,Bradyrhizobium barranii subsp. barranii,Campylobacter jejuni subsp. jejuni,Neisseria elongata subsp. glycolytica,Lacticaseibacillus paracasei subsp. tolerans,Campylobacter pinnipediorum subsp. caledonicus,Treponema socranskii subsp. buccale,Latilactobacillus sakei subsp. sakei,Lactiplantibacillus plantarum subsp. plantarum,Paenibacillus larvae subsp. pulvifaciens,Lactobacillus delbrueckii subsp. lactis,Enterobacter hormaechei subsp. oharae,Aeromonas salmonicida subsp. masoucida,Rickettsia conorii subsp. heilongjiangensis,Klebsiella quasipneumoniae subsp. similipneumoniae,Bradyrhizobium barranii subsp. apii,Lactobacillus kefiranofaciens subsp. kefiranofaciens,Pectobacterium carotovorum subsp. carotovorum,Xylella fastidiosa subsp. sandyi,Salmonella enterica subsp. houtenae,Mycobacterium intracellulare subsp. yongonense,Clavibacter michiganensis subsp. sepedonicus,Salmonella enterica subsp. diarizonae,Streptococcus infantarius subsp. infantarius,Bifidobacterium longum subsp. suillum,Mycobacterium avium subsp. avium,Vibrio tapetis subsp. tapetis,Actinosynnema pretiosum subsp. pretiosum,Yersinia enterocolitica subsp. enterocolitica,Desulfosarcina ovata subsp. sediminis,Mycobacteroides abscessus subsp. massiliense,Bacillus subtilis subsp. natto,Loigolactobacillus coryniformis subsp. torquens,Yersinia enterocolitica subsp. palearctica,Pantoea stewartii subsp. stewartii,Salmonella enterica subsp. arizonae,Ralstonia syzygii subsp. celebesensis,Lentilactobacillus buchneri subsp. silagei,Aeromonas hydrophila subsp. hydrophila,Zymomonas mobilis subsp. pomaceae,Limosilactobacillus reuteri subsp. reuteri,Leuconostoc mesenteroides subsp. dextranicum,Propionibacterium freudenreichii subsp. shermanii,Nocardiopsis dassonvillei subsp. dassonvillei,Lactobacillus kefiranofaciens subsp. kefirgranum,Carnobacterium inhibens subsp. gilichinskyi,Klebsiella variicola subsp. variicola,Clavibacter michiganensis subsp. tessellarius,Burkholderia ubonensis subsp. mesacidophila,Streptomyces griseus subsp. griseus,Yersinia pestis subsp. pestis,Streptomyces hygroscopicus subsp. limoneus,Enterobacter cloacae subsp. cloacae,Mycobacterium intracellulare subsp. intracellulare,Leuconostoc gelidum subsp. aenigmaticum,Beijerinckia indica subsp. indica
WK030-2-L-48h-03A9_S28,2.90149e-05,0.000145075,0.000406209,NA,0.00821123,0.000261134,NA,NA,0.00011606,0.00197302,0.00313361,0.000928478,NA,5.80299e-05,NA,0.0483389,0.000435224,0.00011606,NA,0.000203105,0.000812418,0.00011606,0.000377194,2.90149e-05,NA,0.00011606,0.000580299,NA,0.000493254,NA,NA,5.80299e-05,0.000145075,NA,NA,8.70448e-05,0.00101552,2.90149e-05,NA,5.80299e-05,0.000290149,0.00017409,NA,NA,NA,2.90149e-05,NA,0.000232119,NA,NA,0.000406209,0.00017409,NA,NA,NA,0.00101552,8.70448e-05,NA,0.000203105,NA,NA,0.000551284,NA,NA,0.000348179,0.000667343,NA,NA,0.000435224,0.00107355,NA,0.000667343,NA,8.70448e-05,NA,NA,0.000609314,NA,0.00145075,0.000203105,NA,NA,NA,NA,0.00017409,0.000261134,NA,2.90149e-05,NA,2.90149e-05,0.0812708,NA,0.00011606,NA,0.00493254,NA,NA,NA,NA,NA,NA,2.90149e-05,0.000870448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90149e-05,NA,NA,NA,2.90149e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK030-2-L-08h-03A8_S27,0.000116879,NA,2.92197e-05,2.92197e-05,0.00134411,2.92197e-05,NA,NA,5.84394e-05,0.000379856,0.000876591,0.000175318,NA,NA,5.84394e-05,0.0298918,0.000204538,NA,5.84394e-05,5.84394e-05,0.000262977,0.000204538,5.84394e-05,NA,5.84394e-05,2.92197e-05,0.000116879,NA,8.76591e-05,NA,2.92197e-05,0.000233758,NA,NA,NA,0.000146099,0.00289275,5.84394e-05,NA,2.92197e-05,NA,NA,NA,NA,2.92197e-05,NA,2.92197e-05,0.000350636,NA,2.92197e-05,2.92197e-05,0.000204538,2.92197e-05,NA,NA,0.000204538,0.000116879,NA,2.92197e-05,5.84394e-05,NA,5.84394e-05,NA,NA,2.92197e-05,0.000116879,NA,NA,2.92197e-05,0.000146099,NA,5.84394e-05,NA,0.000233758,NA,NA,0.000175318,NA,0.000496735,5.84394e-05,NA,NA,NA,NA,NA,5.84394e-05,0.000146099,NA,2.92197e-05,NA,0.0658028,NA,0.000262977,NA,0.00674975,NA,NA,NA,NA,NA,NA,NA,0.000146099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000204538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK030-2-G-48h-04A6_S106,0.000150183,NA,5.00611e-05,NA,0.000150183,NA,NA,NA,NA,0.000100122,0.000250305,5.00611e-05,NA,NA,NA,0.0293859,NA,NA,5.00611e-05,NA,NA,0.000400489,NA,NA,0.000150183,0.000200244,NA,NA,5.00611e-05,NA,NA,0.000200244,NA,NA,NA,0.000100122,0.00235287,5.00611e-05,NA,0.000100122,5.00611e-05,NA,NA,NA,5.00611e-05,NA,NA,0.000200244,NA,NA,NA,5.00611e-05,NA,NA,NA,NA,0.000100122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00611e-05,5.00611e-05,NA,NA,NA,0.00045055,NA,NA,NA,NA,0.000150183,0.000200244,NA,NA,NA,NA,NA,NA,0.000200244,NA,5.00611e-05,NA,0.0840025,NA,5.00611e-05,NA,0.0360941,NA,NA,NA,NA,NA,NA,NA,0.000250305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000350428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK030-1-L-48h-03A7_S26,5.58263e-05,8.37394e-05,0.000474523,NA,0.00521976,2.79131e-05,NA,NA,0.000139566,0.00136774,0.00298671,0.000586176,NA,NA,NA,0.0502437,0.000474523,2.79131e-05,NA,0.000223305,0.000837394,0.000195392,0.00044661,NA,8.37394e-05,5.58263e-05,0.000558263,NA,0.00053035,NA,NA,5.58263e-05,5.58263e-05,NA,NA,0.000111653,0.00240053,2.79131e-05,NA,NA,0.00044661,5.58263e-05,NA,NA,NA,NA,2.79131e-05,0.000167479,NA,NA,0.000139566,0.000307045,NA,NA,NA,0.00114444,8.37394e-05,NA,0.000111653,NA,NA,0.000725742,NA,NA,0.000111653,0.000474523,NA,NA,0.000279131,0.000753655,NA,0.000474523,NA,0.000139566,NA,NA,2.79131e-05,NA,0.0010607,5.58263e-05,NA,NA,NA,2.79131e-05,0.000167479,0.000195392,2.79131e-05,NA,NA,NA,0.0973331,NA,5.58263e-05,NA,0.00519184,NA,5.58263e-05,NA,NA,NA,NA,NA,0.000837394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79131e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK030-1-L-08h-03A6_S25,0.000112772,NA,2.81929e-05,NA,0.00177615,8.45787e-05,NA,NA,2.81929e-05,0.000535665,0.000958558,0.00019735,NA,NA,NA,0.0244714,5.63858e-05,5.63858e-05,NA,2.81929e-05,0.00019735,2.81929e-05,0.000112772,2.81929e-05,2.81929e-05,2.81929e-05,5.63858e-05,2.81929e-05,0.000225543,NA,NA,0.000169157,NA,NA,NA,0.000112772,0.00298845,2.81929e-05,NA,5.63858e-05,5.63858e-05,NA,NA,NA,NA,NA,2.81929e-05,0.00019735,NA,2.81929e-05,2.81929e-05,0.000140964,NA,NA,NA,0.000140964,8.45787e-05,NA,2.81929e-05,NA,NA,0.000112772,NA,NA,5.63858e-05,0.000140964,NA,NA,0.000225543,0.000281929,NA,0.000112772,NA,0.00019735,NA,NA,0.000169157,NA,0.000535665,5.63858e-05,NA,NA,NA,NA,2.81929e-05,5.63858e-05,0.00019735,NA,NA,NA,0.0565831,NA,5.63858e-05,NA,0.00465183,NA,2.81929e-05,NA,NA,NA,NA,NA,0.000140964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000140964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK029-2-L-48h-03A5_S24,0.000586791,NA,0.000117358,0.000264056,0.00214179,0.000205377,0.000792168,NA,NA,0.000205377,0.000352075,8.80187e-05,NA,5.86791e-05,NA,0.274413,0.00102689,5.86791e-05,0.000410754,0.000205377,5.86791e-05,0.000469433,8.80187e-05,0.000498773,0.0218873,0.000117358,NA,0.000645471,NA,NA,0.0012616,NA,NA,NA,2.93396e-05,0.000792168,0.000938866,0.000234717,NA,8.80187e-05,NA,5.86791e-05,NA,2.93396e-05,0.000117358,0.000997545,NA,0.00129094,2.93396e-05,0.00818574,0.000117358,0.000322735,0.000117358,NA,NA,0.000293396,0.0102102,0.000205377,0.000176037,5.86791e-05,0.000117358,0.000205377,2.93396e-05,NA,0.000117358,2.93396e-05,5.86791e-05,NA,NA,0.000264056,5.86791e-05,NA,NA,0.000352075,NA,NA,0.000352075,NA,0.000293396,0.000264056,0.000146698,NA,2.93396e-05,2.93396e-05,NA,2.93396e-05,2.93396e-05,NA,5.86791e-05,2.93396e-05,0.391507,NA,NA,2.93396e-05,0.00114424,2.93396e-05,0.000117358,NA,NA,NA,NA,5.86791e-05,0.000322735,NA,NA,NA,NA,NA,8.80187e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93396e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK029-2-L-08h-03A4_S23,0.000272316,6.05147e-05,6.05147e-05,0.000726176,0.000544632,6.05147e-05,0.000211801,NA,NA,9.0772e-05,9.0772e-05,6.05147e-05,9.0772e-05,6.05147e-05,NA,0.108805,6.05147e-05,3.02573e-05,0.000726176,0.000242059,3.02573e-05,0.000151287,NA,0.000514375,0.0178821,3.02573e-05,NA,0.000393345,3.02573e-05,NA,0.00151287,NA,NA,NA,NA,0.000363088,0.00090772,0.000151287,NA,3.02573e-05,3.02573e-05,NA,NA,NA,6.05147e-05,0.00136158,NA,0.000756433,3.02573e-05,0.00786691,9.0772e-05,3.02573e-05,6.05147e-05,NA,NA,9.0772e-05,0.00735253,9.0772e-05,3.02573e-05,6.05147e-05,3.02573e-05,9.0772e-05,NA,NA,NA,3.02573e-05,NA,NA,NA,0.000121029,NA,NA,NA,0.000544632,NA,NA,0.000181544,6.05147e-05,9.0772e-05,3.02573e-05,0.000121029,3.02573e-05,NA,NA,NA,3.02573e-05,NA,NA,6.05147e-05,NA,0.174464,NA,NA,NA,0.00190621,NA,9.0772e-05,NA,NA,6.05147e-05,3.02573e-05,NA,9.0772e-05,NA,NA,NA,NA,NA,9.0772e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK029-2-G-48h-04A5_S105,0.000835488,3.34195e-05,0.000200517,0.000267356,0.00197175,3.34195e-05,0.000601552,NA,NA,0.000200517,0.000300776,0.000233937,NA,3.34195e-05,NA,0.346794,0.000133678,3.34195e-05,0.000634971,0.000200517,6.68391e-05,0.000467873,0.000200517,0.000401034,0.0121647,0.000100259,NA,0.000133678,0.000133678,NA,0.00103601,NA,NA,NA,6.68391e-05,0.000534713,0.000902327,0.000267356,NA,0.000133678,3.34195e-05,3.34195e-05,3.34195e-05,0.000133678,NA,0.000802069,NA,0.00113626,0.000100259,0.00501293,0.000167098,0.000200517,0.000133678,NA,NA,0.000267356,0.00551422,NA,0.000133678,0.000200517,6.68391e-05,0.000233937,NA,NA,0.000133678,NA,3.34195e-05,NA,3.34195e-05,0.000233937,3.34195e-05,NA,NA,0.000267356,3.34195e-05,NA,0.000300776,NA,0.000401034,0.000300776,0.000100259,NA,NA,NA,3.34195e-05,3.34195e-05,NA,NA,6.68391e-05,0.000100259,0.488159,3.34195e-05,0.000300776,NA,0.00497951,NA,0.000200517,NA,NA,NA,3.34195e-05,0.000100259,0.000467873,NA,NA,NA,3.34195e-05,NA,0.000200517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK029-1-L-48h-03A3_S22,0.000914028,3.15182e-05,0.000409737,0.000693401,0.00419192,0.000157591,0.00119769,NA,NA,0.000189109,0.000787955,9.45546e-05,NA,9.45546e-05,NA,0.306105,0.0003467,0.000126073,0.0010401,0.000504291,0.000189109,0.00151287,6.30364e-05,0.000567328,0.00318334,6.30364e-05,NA,0.00217476,3.15182e-05,9.45546e-05,0.00116617,NA,3.15182e-05,NA,3.15182e-05,0.00154439,0.00223779,0.0003467,NA,6.30364e-05,6.30364e-05,0.000189109,6.30364e-05,0.000220627,0.000126073,0.000598846,NA,0.00302575,0.000157591,0.000409737,0.000598846,0.000409737,6.30364e-05,NA,NA,0.000567328,0.00148136,0.000283664,0.000126073,0.000157591,0.000472773,0.000315182,3.15182e-05,NA,6.30364e-05,9.45546e-05,NA,NA,NA,0.000283664,3.15182e-05,NA,3.15182e-05,0.000472773,3.15182e-05,6.30364e-05,0.000252146,0.000126073,0.000378219,0.000315182,0.000252146,NA,NA,NA,9.45546e-05,9.45546e-05,3.15182e-05,3.15182e-05,0.000157591,3.15182e-05,0.417995,NA,3.15182e-05,NA,0.00110314,NA,6.30364e-05,NA,NA,6.30364e-05,NA,NA,9.45546e-05,NA,NA,NA,3.15182e-05,NA,9.45546e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15182e-05,3.15182e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK029-1-L-08h-03A2_S21,0.000673651,NA,8.42064e-05,0.000729789,0.00272267,0.000140344,0.00117889,NA,NA,2.80688e-05,0.000336826,0.000140344,5.61376e-05,0.000140344,NA,0.100037,8.42064e-05,5.61376e-05,0.00151572,0.000561376,0.000196482,0.00103855,8.42064e-05,0.000308757,0.00376122,NA,NA,0.00294722,2.80688e-05,NA,0.00129117,NA,NA,NA,NA,0.00123503,0.00176833,0.000421032,NA,0.000168413,2.80688e-05,2.80688e-05,NA,0.000112275,0.00022455,0.00101048,NA,0.00244199,5.61376e-05,0.000196482,0.00047717,0.000392963,0.000112275,NA,2.80688e-05,0.000168413,0.000842064,0.000112275,0.000196482,0.000196482,0.000421032,0.000168413,NA,2.80688e-05,8.42064e-05,0.000168413,5.61376e-05,NA,NA,0.000421032,NA,NA,NA,0.00070172,2.80688e-05,5.61376e-05,0.000140344,0.000140344,0.000336826,0.000392963,0.000505238,2.80688e-05,NA,2.80688e-05,NA,2.80688e-05,5.61376e-05,NA,0.00047717,2.80688e-05,0.157438,2.80688e-05,NA,NA,0.00204902,NA,0.000168413,NA,NA,2.80688e-05,5.61376e-05,NA,5.61376e-05,NA,NA,NA,NA,NA,8.42064e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK028-2-L-48h-03A1_S20,0.00054807,2.74035e-05,0.000137018,0.0479561,0.00460379,0.000712491,0.00123316,NA,0.000191825,0.00115095,0.00331583,0.000137018,0.000274035,2.74035e-05,NA,0.00490523,2.5488,5.4807e-05,0.000685088,0.000712491,0.000411053,0.000274035,NA,0.000137018,0.000411053,0.000109614,0.000164421,NA,0.000986527,0.000356246,0.00054807,2.74035e-05,0.000438456,0.000137018,NA,0.00243891,0.000137018,NA,NA,0.00054807,5.4807e-05,2.74035e-05,5.4807e-05,NA,2.74035e-05,8.22105e-05,NA,0.00106874,NA,2.74035e-05,0.000739895,0.000191825,0.00104133,NA,NA,0.000849509,0.000520667,NA,8.22105e-05,0.000109614,NA,0.000657684,NA,NA,0.000328842,0.000109614,NA,NA,8.22105e-05,0.000822105,0.000274035,0.000164421,NA,0.000137018,0.000411053,5.4807e-05,0.000301439,NA,0.00109614,NA,0.000274035,NA,NA,NA,NA,NA,NA,NA,0.000301439,2.74035e-05,0.00833067,NA,2.74035e-05,NA,0.00104133,NA,0.000356246,5.4807e-05,2.74035e-05,NA,NA,0.000109614,NA,2.74035e-05,NA,NA,0.00046586,NA,NA,NA,NA,NA,NA,0.000493263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00169902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK028-2-L-08h-02I9_S19,0.000137093,0.000164511,5.4837e-05,0.00507242,0.00627884,0.00227574,0.000137093,NA,5.4837e-05,0.0019193,0.00841748,0.000219348,5.4837e-05,NA,NA,0.000329022,0.249289,0.000575789,0.000164511,0.000411278,0.000301604,0.00019193,5.4837e-05,NA,0.000849974,0.000109674,0.000383859,NA,0.000274185,0.000685463,8.22555e-05,NA,0.001179,0.000274185,5.4837e-05,0.000274185,2.74185e-05,NA,NA,0.000109674,0.000137093,NA,0.000329022,NA,NA,NA,NA,0.000520952,NA,NA,8.22555e-05,0.000137093,0.000164511,NA,NA,0.00265959,0.000164511,NA,2.74185e-05,0.000274185,NA,0.00019193,2.74185e-05,NA,2.74185e-05,0.000164511,NA,NA,5.4837e-05,0.00180962,0.000658044,0.000877392,NA,5.4837e-05,0.000877392,0.000246767,0.000164511,NA,0.00213864,2.74185e-05,2.74185e-05,NA,NA,2.74185e-05,NA,NA,0.000164511,2.74185e-05,5.4837e-05,NA,0.000685463,NA,NA,NA,0.000109674,NA,0.000109674,5.4837e-05,NA,NA,NA,0.000329022,NA,5.4837e-05,NA,NA,0.000575789,NA,NA,NA,NA,NA,NA,0.00159027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000301604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK028-2-G-48h-04A4_S104,0.00200868,0.00013853,0.000623383,0.00557581,0.0060953,0.000346324,0.00387883,NA,0.000588751,0.000623383,0.00207794,0.000103897,0.000796545,3.46324e-05,NA,0.00519486,1.41546,0.000103897,0.00131603,0.00131603,0.000900442,0.0010736,3.46324e-05,0.000173162,0.00086581,0.000103897,3.46324e-05,NA,0.00204331,0.00013853,0.00159309,NA,0.000207794,6.92648e-05,NA,0.00671868,6.92648e-05,6.92648e-05,NA,0.00169699,3.46324e-05,3.46324e-05,0.000103897,NA,NA,0.000519486,NA,0.00287449,0.000103897,NA,0.00152382,0.000346324,0.00252816,3.46324e-05,0.000173162,0.000761912,0.00072728,NA,0.000103897,0.000103897,NA,0.000969707,6.92648e-05,NA,0.000692648,NA,NA,NA,0.00013853,0.000346324,6.92648e-05,0.000415589,NA,3.46324e-05,0.000519486,6.92648e-05,3.46324e-05,NA,0.000450221,3.46324e-05,0.000554118,3.46324e-05,NA,NA,3.46324e-05,NA,NA,NA,0.000761912,NA,0.00976633,NA,0.000173162,NA,0.00311691,NA,0.00135066,NA,NA,NA,6.92648e-05,NA,3.46324e-05,3.46324e-05,NA,NA,0.000242427,NA,NA,0.000173162,6.92648e-05,NA,NA,0.000311691,NA,NA,NA,NA,NA,NA,0.000103897,NA,NA,NA,NA,0.00086581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK028-1-L-48h-02I8_S18,0.000294282,6.53959e-05,9.80938e-05,0.0474774,0.00372757,0.000817449,0.00101364,NA,NA,0.000850147,0.00255044,0.00016349,0.000130792,NA,NA,0.00127522,3.80248,3.26979e-05,0.000294282,0.000359677,0.000130792,0.000359677,3.26979e-05,6.53959e-05,0.000457771,3.26979e-05,9.80938e-05,NA,0.000490469,0.00016349,0.000359677,NA,0.000228886,3.26979e-05,NA,0.00215806,0.000130792,NA,NA,0.000392375,3.26979e-05,NA,0.000196188,NA,NA,3.26979e-05,NA,0.000523167,NA,NA,0.000392375,0.000196188,0.000817449,NA,6.53959e-05,0.000686657,0.000196188,NA,9.80938e-05,9.80938e-05,NA,0.000359677,NA,NA,0.000228886,0.000130792,NA,NA,3.26979e-05,0.000523167,0.00016349,0.00016349,NA,NA,0.000326979,6.53959e-05,0.000196188,3.26979e-05,0.000523167,NA,0.000228886,NA,NA,NA,NA,NA,NA,3.26979e-05,0.000228886,NA,0.00336789,NA,NA,NA,0.000555865,NA,0.000326979,NA,3.26979e-05,NA,NA,0.000130792,NA,NA,NA,NA,0.000196188,NA,NA,3.26979e-05,NA,NA,NA,0.000653959,NA,NA,NA,NA,NA,NA,3.26979e-05,NA,NA,NA,NA,0.00192918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK028-1-L-08h-02I7_S17,0.000168096,0.000168096,NA,0.00778846,0.00655575,0.00224128,0.000224128,NA,5.60321e-05,0.00229732,0.00728417,0.00028016,8.40481e-05,NA,NA,5.60321e-05,0.298175,0.000224128,8.40481e-05,0.000532305,0.000840481,0.000364209,NA,NA,0.000868497,8.40481e-05,0.000308176,NA,0.000224128,0.00028016,0.00014008,NA,0.00114866,0.000392225,NA,0.000504289,5.60321e-05,2.8016e-05,NA,2.8016e-05,0.000196112,2.8016e-05,0.000224128,NA,2.8016e-05,2.8016e-05,NA,0.00028016,NA,NA,NA,0.000112064,0.000168096,NA,NA,0.00212922,2.8016e-05,NA,0.00014008,0.000252144,NA,0.000224128,NA,NA,8.40481e-05,8.40481e-05,NA,NA,0.00014008,0.00142882,0.000476273,0.000952545,NA,0.00014008,0.000896513,0.000336192,0.000224128,2.8016e-05,0.00165295,NA,NA,5.60321e-05,NA,2.8016e-05,NA,NA,5.60321e-05,NA,2.8016e-05,5.60321e-05,0.000532305,NA,5.60321e-05,NA,2.8016e-05,NA,0.000112064,NA,2.8016e-05,NA,NA,0.000168096,NA,NA,NA,NA,0.000476273,NA,NA,NA,NA,NA,NA,0.0015689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000168096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK027-2-L-48h-02I6_S16,6.32049e-05,3.16025e-05,3.16025e-05,0.167683,0.010492,0.00347627,9.48074e-05,NA,0.000948074,0.000600447,0.00436114,0.000979676,6.32049e-05,3.16025e-05,NA,0.000189615,0.0633945,NA,0.00037923,0.000347627,NA,0.00151692,NA,3.16025e-05,3.16025e-05,0.000442435,6.32049e-05,NA,0.000410832,NA,0.00012641,NA,0.000537242,NA,NA,0.00135891,0.00012641,NA,NA,3.16025e-05,0.000695254,3.16025e-05,NA,NA,NA,3.16025e-05,NA,0.00113769,NA,NA,0.000663652,0.00037923,0.000442435,NA,NA,0.00186455,0.000284422,NA,NA,0.0012957,NA,3.16025e-05,NA,NA,6.32049e-05,0.000410832,NA,NA,0.000821664,0.00116929,3.16025e-05,0.00622569,NA,0.000316025,NA,0.00243339,0.00110609,NA,0.00154852,NA,6.32049e-05,NA,NA,NA,NA,3.16025e-05,NA,0.000221217,0.00012641,0.00025282,0.000821664,NA,3.16025e-05,NA,0.000189615,3.16025e-05,0.000189615,0.000600447,NA,NA,NA,NA,6.32049e-05,NA,0.000347627,NA,NA,NA,3.16025e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.32049e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
